service_id,date,exception_type
"30_314998","20141210","1"
"30_314998","20141211","1"
"30_314998","20141212","1"
"30_314998","20141213","1"
"30_314998","20141215","1"
"30_314998","20141216","1"
"30_314998","20141217","1"
"30_314998","20141218","1"
"30_314998","20141219","1"
"30_314998","20141220","1"
"30_314998","20141222","1"
"30_314998","20141223","1"
"30_314998","20141227","1"
"30_314998","20141229","1"
"30_314998","20141230","1"
"30_314998","20150102","1"
"30_314998","20150103","1"
"30_314998","20150105","1"
"30_314998","20150107","1"
"30_314998","20150108","1"
"30_314998","20150109","1"
"30_314998","20150110","1"
"30_314998","20150112","1"
"30_314998","20150113","1"
"30_314998","20150114","1"
"30_314998","20150115","1"
"30_314998","20150116","1"
"30_314998","20150117","1"
"30_314998","20150119","1"
"30_314998","20150120","1"
"30_314998","20150121","1"
"30_314998","20150122","1"
"30_314998","20150123","1"
"30_314998","20150124","1"
"30_314998","20150126","1"
"30_314998","20150127","1"
"30_314998","20150128","1"
"30_314998","20150129","1"
"30_314998","20150130","1"
"30_314998","20150131","1"
"30_314998","20150202","1"
"30_314998","20150203","1"
"30_314998","20150204","1"
"30_314998","20150205","1"
"30_314998","20150206","1"
"30_314998","20150207","1"
"30_314998","20150209","1"
"30_314998","20150210","1"
"30_314998","20150211","1"
"30_314998","20150212","1"
"30_314998","20150213","1"
"30_314998","20150214","1"
"30_314998","20150216","1"
"30_314998","20150217","1"
"30_314998","20150218","1"
"30_314998","20150219","1"
"30_314998","20150220","1"
"30_314998","20150221","1"
"30_314998","20150223","1"
"30_314998","20150224","1"
"30_314998","20150225","1"
"30_314998","20150226","1"
"30_314998","20150227","1"
"30_314998","20150228","1"
"30_314998","20150302","1"
"30_314998","20150303","1"
"30_314998","20150304","1"
"30_314998","20150305","1"
"30_314998","20150306","1"
"30_314998","20150307","1"
"30_314998","20150309","1"
"30_314998","20150310","1"
"30_314998","20150311","1"
"30_314998","20150312","1"
"30_314998","20150313","1"
"30_314998","20150314","1"
"30_314998","20150316","1"
"30_314998","20150317","1"
"30_314998","20150318","1"
"30_314998","20150319","1"
"30_314998","20150320","1"
"30_314998","20150321","1"
"30_314998","20150323","1"
"30_314998","20150324","1"
"30_314998","20150325","1"
"30_314998","20150326","1"
"30_314998","20150327","1"
"30_314998","20150328","1"
"30_314998","20150330","1"
"30_314998","20150331","1"
"30_314998","20150401","1"
"30_314998","20150402","1"
"30_314998","20150403","1"
"30_314998","20150404","1"
"30_314998","20150407","1"
"30_314998","20150408","1"
"30_314998","20150409","1"
"30_314998","20150410","1"
"30_314998","20150411","1"
"30_314998","20150413","1"
"30_314998","20150414","1"
"30_314998","20150415","1"
"30_314998","20150416","1"
"30_314998","20150417","1"
"30_314998","20150418","1"
"30_314998","20150420","1"
"30_314998","20150421","1"
"30_314998","20150422","1"
"30_314998","20150423","1"
"30_314998","20150424","1"
"30_314998","20150427","1"
"30_314998","20150428","1"
"30_314998","20150429","1"
"30_314998","20150430","1"
"30_314998","20150502","1"
"30_314998","20150504","1"
"30_314998","20150505","1"
"30_314998","20150506","1"
"30_314998","20150507","1"
