trip_id,arrival_time,departure_time,stop_id,stop_sequence
"30_752656","06:50:00","06:50:00","SA136ZI","1"
"30_752656","06:54:00","06:54:00","SA044ZI","2"
"30_752656","06:55:00","06:55:00","SA046ZI","3"
"30_752656","06:57:00","06:57:00","SA054ZI","4"
"30_752656","06:58:23","06:58:23","SA058ZI","5"
"30_752656","07:00:00","07:00:00","SA113ME","6"
"30_752656","07:02:00","07:02:00","SA062ME","7"
"30_752656","07:04:12","07:04:12","SA068ME","8"
"30_752656","07:05:09","07:05:09","SA074PA","9"
"30_752656","07:05:51","07:05:51","SA078PA","10"
"30_752656","07:07:00","07:07:00","SA084TO","11"
"30_752656","07:08:46","07:08:46","SA092TO","12"
"30_752656","07:09:29","07:09:29","SA094TO","13"
"30_752656","07:10:00","07:10:00","SA098TO","14"
"30_752656","07:12:00","07:12:00","SA001FE","15"
"30_752656","07:13:36","07:13:36","SA003FE","16"
"30_752656","07:14:42","07:14:42","SA005FE","17"
"30_752656","07:17:00","07:17:00","SA331CA","18"
"30_752656","07:18:57","07:18:57","SA346CA","19"
"30_752656","07:20:00","07:20:00","SA335CA","20"
"30_752656","07:20:38","07:20:38","SA345CA","21"
"30_752656","07:35:02","07:35:02","FI031LA","22"
"30_752656","07:35:31","07:35:31","BA006OR","23"
"30_752656","07:35:50","07:35:50","FI013LA","24"
"30_752656","07:36:00","07:36:00","FI010LA","25"
"30_752656","07:36:14","07:36:14","BA015SA","26"
"30_752656","07:36:54","07:36:54","BA001OR","27"
"30_752656","07:38:00","07:38:00","BA010OR","28"
"30_752656","07:44:02","07:44:02","FI025UN","29"
"30_752656","07:46:17","07:46:17","FI027UN","30"
"30_752656","07:46:44","07:46:44","FI031UN","31"
"30_752656","07:47:00","07:47:00","FI007UN","32"
"30_752657","07:35:00","07:35:00","SA136ZI","1"
"30_752657","07:39:00","07:39:00","SA044ZI","2"
"30_752657","07:40:00","07:40:00","SA046ZI","3"
"30_752657","07:43:00","07:43:00","SA054ZI","4"
"30_752657","07:44:50","07:44:50","SA058ZI","5"
"30_752657","07:47:00","07:47:00","SA113ME","6"
"30_752657","07:49:00","07:49:00","SA062ME","7"
"30_752657","07:52:58","07:52:58","SA068ME","8"
"30_752657","07:54:40","07:54:40","SA074PA","9"
"30_752657","07:55:56","07:55:56","SA078PA","10"
"30_752657","07:58:00","07:58:00","SA084TO","11"
"30_752657","07:59:46","07:59:46","SA092TO","12"
"30_752657","08:00:29","08:00:29","SA094TO","13"
"30_752657","08:01:00","08:01:00","SA098TO","14"
"30_752657","08:03:00","08:03:00","SA001FE","15"
"30_752657","08:05:14","08:05:14","SA003FE","16"
"30_752657","08:06:47","08:06:47","SA005FE","17"
"30_752657","08:10:00","08:10:00","SA331CA","18"
"30_752657","08:11:57","08:11:57","SA346CA","19"
"30_752657","08:13:00","08:13:00","SA335CA","20"
"30_752657","08:13:38","08:13:38","SA345CA","21"
"30_752657","08:28:02","08:28:02","FI031LA","22"
"30_752657","08:28:31","08:28:31","BA006OR","23"
"30_752657","08:28:50","08:28:50","FI013LA","24"
"30_752657","08:29:00","08:29:00","FI010LA","25"
"30_752657","08:29:14","08:29:14","BA015SA","26"
"30_752657","08:29:54","08:29:54","BA001OR","27"
"30_752657","08:31:00","08:31:00","BA010OR","28"
"30_752657","08:37:02","08:37:02","FI025UN","29"
"30_752657","08:39:17","08:39:17","FI027UN","30"
"30_752657","08:39:44","08:39:44","FI031UN","31"
"30_752657","08:40:00","08:40:00","FI007UN","32"
"30_752658","08:35:00","08:35:00","SA136ZI","1"
"30_752658","08:40:00","08:40:00","SA044ZI","2"
"30_752658","08:41:00","08:41:00","SA046ZI","3"
"30_752658","08:44:00","08:44:00","SA054ZI","4"
"30_752658","08:45:50","08:45:50","SA058ZI","5"
"30_752658","08:48:00","08:48:00","SA113ME","6"
"30_752658","08:50:00","08:50:00","SA062ME","7"
"30_752658","08:53:55","08:53:55","SA068ME","8"
"30_752658","08:55:41","08:55:41","SA074PA","9"
"30_752658","08:56:54","08:56:54","SA078PA","10"
"30_752658","08:59:00","08:59:00","SA084TO","11"
"30_752658","09:01:56","09:01:56","SA092TO","12"
"30_752658","09:03:08","09:03:08","SA094TO","13"
"30_752658","09:04:00","09:04:00","SA098TO","14"
"30_752658","09:07:00","09:07:00","SA001FE","15"
"30_752658","09:09:12","09:09:12","SA003FE","16"
"30_752658","09:10:46","09:10:46","SA005FE","17"
"30_752658","09:14:00","09:14:00","SA331CA","18"
"30_752658","09:15:56","09:15:56","SA346CA","19"
"30_752658","09:17:00","09:17:00","SA335CA","20"
"30_752658","09:17:55","09:17:55","SA345CA","21"
"30_752658","09:42:08","09:42:08","FI025UN","22"
"30_752658","09:43:31","09:43:31","FI027UN","23"
"30_752658","09:43:49","09:43:49","FI031UN","24"
"30_752658","09:44:00","09:44:00","FI007UN","25"
"30_752659","09:15:00","09:15:00","SA113ME","1"
"30_752659","09:17:00","09:17:00","SA062ME","2"
"30_752659","09:20:55","09:20:55","SA068ME","3"
"30_752659","09:22:41","09:22:41","SA074PA","4"
"30_752659","09:23:54","09:23:54","SA078PA","5"
"30_752659","09:26:00","09:26:00","SA084TO","6"
